,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
FullyConnected,23.4315542851433,22.9065800466912,22.428389394375,6.90264549149707,6.38581938216956,6.13754287518989,6.01536095247337,5.52553361754529,2.19007912071012,2.04284101757854,1.75923811796986,1.05274188845831,0.167952469510074,-0.0488444552953383,-1.09779758721891,-2.23506595288294,-2.27868815422801,-3.81967527391794,-3.83396457260289,-3.83907875322558
FullyRepressed,23.1189708530185,22.5888292983785,12.1738532643857,6.48143910452295,6.31094821770562,5.94959770064382,5.58503603044556,2.02868632592034,2.02275823615534,1.7658086011053,0.97775374016947,0.548569614104373,-0.657982456701163,-1.49162041004193,-2.28571109913768,-2.29225982095692,-2.61820334814526,-3.83317985928787,-3.83388288663342,-3.83932625150786
MasterRegulator,23.0072340800028,22.6442833140607,6.29407414905502,6.20948813226311,5.98582226641172,4.86274123752219,3.76002904063904,2.68477279111465,1.9007244314038,1.83672530320108,1.68815172705925,-0.0034886482874453,-0.004463931597936,-0.987713766814742,-2.29171484890814,-2.32517825175456,-2.35611947132472,-3.83171559058701,-3.83890098308074,-3.85025497787275
mediumConnection,23.2928677295649,23.0073908689638,22.5784633082106,6.201587418862,5.97913782721588,5.9736052193093,5.9560297345034,3.03318731040177,1.97428453263456,1.88201318738696,1.68080221800116,1.42284216319006,-0.870067223195886,-1.44077906216836,-2.2656026729738,-2.27353099948098,-3.28370178204599,-3.82725738246435,-3.83446005724222,-3.83921588005265
SparseConnection,23.9182428991486,23.4848110155285,22.9799505609372,10.3934149764293,7.03609011183445,6.47723810395522,6.24789615403557,6.23163475092471,6.21721516166385,2.46704322090726,2.24890494381122,2.17012085120948,1.97251746788842,1.31671643763398,0.0787226017169009,-2.21663106427747,-2.24918412968147,-2.25514994160469,-3.83181047676067,-3.83201901780166
Oscillating_nr1_na1,23.5353575367298,23.2197995940295,23.1918351629045,7.93962321123821,6.7070021340706,6.7048900357326,6.50189946148873,2.20019433707493,2.03770407436583,1.77775844004608,0.782993501479395,0.403276355168119,0.327481442732794,0.206183511563067,-2.22803668499873,-2.24385847620753,-2.24763790606986,-3.82195163249175,-3.82751854684037,-3.83173815295283
Oscillating_nr5_na5,24.1040176594159,23.3002838474227,23.2897162714477,8.83759248638885,7.16183567855826,6.68800971254164,6.42102570162764,5.98558082656507,2.48343692342095,2.12931289499263,1.87204812357218,-0.0183026884668022,-0.525053052504574,-1.41315630117789,-2.17026623000327,-2.19364431756867,-2.34325990824187,-3.81996674330056,-3.82623912536862,-3.83291266053278
Oscillating_nr10_na10,22.7070302562742,22.3861616474788,22.2581188225135,10.2013831414369,8.43754916450224,6.33275128559727,6.24267227371698,6.2424346511011,5.16285362719666,2.47785482253814,1.85888401791746,1.67148475944115,-0.0574988114084331,-0.828472245515115,-2.19302859656153,-2.2351596012626,-2.27564646169231,-3.82476509517223,-3.83040076150872,-3.83574981702515
Oscillating_nr15_na15,23.4412684812017,23.3111784403736,23.2794622733948,9.01495209554397,6.50800225919377,6.29956237260493,6.25864165867338,6.15982410935787,4.86750607918022,2.4376562034291,1.91401194710567,0.343554796099029,0.206604487025854,-0.158117250630788,-2.23014684958275,-2.24433252840676,-2.24625163662497,-3.8244611798828,-3.82927581570383,-3.83227614446817
ExternalSignal_nr1_na1,23.8075588520142,23.1444199412397,22.5625873059828,6.80851081483845,6.29561153875053,6.08884169062672,6.00492368922082,5.422101688871,1.96180028411459,1.73288015602404,1.47727921648931,0.863784602101797,-1.0874458959409,-2.15346574487054,-2.24284457869563,-2.26225235092411,-2.2807854444243,-3.82255806540194,-3.82676138756502,-3.83138598481615
ExternalSignal_nr5_na5,23.672590434655,23.5645270030126,23.0392078288461,7.17235296168904,6.23428772631486,6.08227319076685,5.55913316444434,4.43688351433586,2.49211639611219,2.40142213208483,2.00986408997876,1.13694263611349,0.0262728918926982,-0.712998701552968,-2.25920997482359,-2.28846877049274,-2.29616605209244,-2.69044798869921,-3.8288897707406,-3.83979078776929
ExternalSignal_nr10_na10,22.9875884231828,22.9726038781907,22.9526244848679,6.87803682756812,6.30189088337902,6.17954863696986,6.10360478857565,4.46322088606148,2.15040829992774,2.09022386443253,2.00143474300808,0.328805774807038,-0.102269448430032,-0.152333991701908,-2.23781132007133,-2.23997480271091,-2.24151453245678,-3.82984042947973,-3.83102312340481,-3.83338851125495
